#"Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Temperature (K)"
110 -45371.101294646265 4799.167687784708 187.98453542919174
120 -45319.889207484426 4943.993449797726 193.657394841771
130 -45236.532982542405 5078.06497711696 198.9090083333226
140 -45178.27409616834 5203.684830257689 203.82956774479078
150 -44978.13002891628 5176.281808281685 202.75618488121077
160 -44853.419496500625 5309.719459793726 207.98296930720616
170 -44755.6931351528 5436.200813950101 212.9372739175784
180 -44695.096721155795 5509.724866143508 215.817228462536
190 -44565.146107152796 5556.633283809559 217.65464229683806
200 -44386.55739497975 5530.463509006428 216.6295660172209
